district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases
Thiruvananthapuram,661,614,47,11,4,0,0,4
Kollam,414,401,13,2,0,0,0,0
Pathanamthitta,1756,1735,21,3,9,0,0,9
Idukki,92,92,0,0,1,0,0,1
Kottayam,1034,1025,9,2,2,0,0,2
Alappuzha,795,784,11,7,0,1,0,1
Ernakulam,680,650,30,6,3,0,0,3
Thrissur,2041,1996,45,9,1,1,0,2
Palakkad,191,169,22,4,0,0,0,0
Malappuram,976,955,21,7,2,0,0,2
Kozhikode,3215,3207,8,8,0,0,0,0
Wayanad,217,215,2,0,0,0,0,0
Kannur,372,336,36,10,1,0,0,1
Kasaragod,296,291,5,3,1,1,0,2
Total,12740,12470,270,72,24,3,0,27
