district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased,total_cases,cases_delta
Thiruvananthapuram,5919,5829,90,43,5,0,0,5,1
Kollam,1137,1131,6,5,0,0,0,0,
Pathanamthitta,4524,4504,20,7,10,0,0,10,
Idukki,1123,1118,5,2,1,0,0,1,
Kottayam,2411,2405,6,0,3,0,0,3,1
Alappuzha,5509,5490,19,8,1,1,0,2,1
Ernakulam,4380,4347,33,4,16,0,0,16,1
Thrissur,10908,10879,29,8,2,1,0,3,
Palakkad,5514,5478,36,11,2,0,0,2,1
Malappuram,9898,9869,29,18,5,0,0,5,1
Kozhikode,9709,9674,35,19,4,0,0,4,2
Wayanad,1499,1496,3,0,0,0,0,0,
Kannur,7193,7123,70,15,12,1,0,13,
Kasaragod,2736,2651,85,24,44,1,0,45,6
Total,72460,71994,466,164,105,4,0,109,14
