district,observation,isolation,total_hospitalized,hospitalized_today,active,recovered,deceased
Thiruvananthapuram,18145,18052,93,18,8,2,0
Kollam,17040,17017,23,4,1,0,0
Pathanamthitta,7725,7704,21,4,5,5,0
Idukki,2265,2259,6,3,2,0,0
Kottayam,3354,3351,3,0,3,2,0
Alappuzha,6267,6246,21,7,1,1,0
Ernakulam,5730,5701,29,6,14,6,1
Thrissur,14935,14896,39,10,5,2,0
Palakkad,18837,18805,32,5,5,0,0
Malappuram,11625,11543,82,25,9,0,0
Kozhikode,10762,10741,21,2,9,0,0
Wayanad,6736,6728,8,5,1,0,0
Kannur,10748,10660,88,6,38,1,0
Kasaragod,7042,6915,127,10,80,1,0
Total,141211,140618,593,105,181,20,1
