date,district,recovered,total_cases,total_hospitalized,active,home_discharged_today,observation,cases_delta,deceased,hospitalized_today,isolation
2020-3-10,Thiruvananthapuram,0,0,16,0,,92,0,0,6,76
2020-3-11,Thiruvananthapuram,0,0,13,0,,127,0,0,1,114
2020-3-12,Thiruvananthapuram,0,0,5,0,,142,0,0,2,137
2020-3-13,Thiruvananthapuram,0,3,18,3,,226,3,0,13,208
2020-3-14,Thiruvananthapuram,0,3,29,3,,313,0,0,15,284
2020-3-15,Thiruvananthapuram,0,4,43,4,,1449,1,0,16,1406
2020-2-16,Thiruvananthapuram,0,0,4,0,4,388,0,0,,384
2020-3-16,Thiruvananthapuram,0,4,47,4,,661,0,0,11,614
2020-3-17,Thiruvananthapuram,0,4,66,4,,795,0,0,11,729
2020-3-18,Thiruvananthapuram,0,4,64,4,,2414,0,0,3,2350
2020-3-19,Thiruvananthapuram,0,4,65,4,,2618,0,0,6,2553
2020-3-1,Thiruvananthapuram,0,0,2,0,0,32,0,0,,30
2020-4-1,Thiruvananthapuram,3,12,77,8,,18058,2,1,20,17981
2020-2-20,Thiruvananthapuram,0,0,3,0,193,227,0,0,,224
2020-3-20,Thiruvananthapuram,0,4,47,4,,3710,0,0,7,3663
2020-3-21,Thiruvananthapuram,0,4,43,4,,4179,0,0,3,4136
2020-3-22,Thiruvananthapuram,0,4,53,4,,4926,0,0,10,4873
2020-2-23,Thiruvananthapuram,0,0,2,0,0,28,0,0,,26
2020-3-23,Thiruvananthapuram,0,4,51,4,,5477,0,0,22,5426
2020-2-24,Thiruvananthapuram,0,0,3,0,0,30,0,0,,27
2020-3-24,Thiruvananthapuram,0,5,90,5,,5919,1,0,43,5829
2020-2-25,Thiruvananthapuram,0,0,4,0,1,31,0,0,,27
2020-3-25,Thiruvananthapuram,1,5,94,4,,6409,0,0,16,6315
2020-2-26,Thiruvananthapuram,0,0,2,0,4,30,0,0,,28
2020-3-26,Thiruvananthapuram,1,5,114,4,,7968,,0,34,7854
2020-2-27,Thiruvananthapuram,0,0,2,0,4,26,0,0,,24
2020-3-27,Thiruvananthapuram,1,5,101,4,,11024,0,0,13,10923
2020-2-28,Thiruvananthapuram,0,0,0,0,0,26,0,0,,26
2020-3-28,Thiruvananthapuram,2,7,101,5,,11024,2,0,13,10923
2020-2-29,Thiruvananthapuram,0,0,1,0,1,26,0,0,,25
2020-3-29,Thiruvananthapuram,2,8,93,6,,18145,1,0,18,18052
2020-3-2,Thiruvananthapuram,0,0,3,0,8,28,0,0,,25
2020-4-2,Thiruvananthapuram,4,13,84,8,,18005,1,1,27,17921
2020-3-30,Thiruvananthapuram,2,8,86,6,,18122,0,0,16,18036
2020-1-31,Thiruvananthapuram,0,0,6,0,5,111,0,0,,105
2020-3-31,Thiruvananthapuram,2,10,77,7,,18392,2,1,13,18315
2020-3-3,Thiruvananthapuram,0,0,2,0,6,30,0,0,,28
2020-4-3,Thiruvananthapuram,4,13,88,8,,18093,0,1,27,18005
2020-3-4,Thiruvananthapuram,0,0,2,0,3,29,0,0,,27
2020-4-4,Thiruvananthapuram,5,13,101,7,,17443,0,1,30,17342
2020-3-5,Thiruvananthapuram,0,0,4,0,2,28,0,0,,24
2020-4-5,Thiruvananthapuram,5,13,102,7,,17748,0,1,18,17646
2020-3-6,Thiruvananthapuram,0,0,3,0,0,28,0,0,,25
